BlockLeft1;BlockRight1;Avg1;BlockLeft2;BlockRight2;Avg2;BlockLeft3;BlockRight3;Avg3;BlockLeft4;BlockRight4;Avg4;BlockLeft5;BlockRight5;Avg5;BlockLeft6;BlockRight6;Avg6;BlockLeft7;BlockRight7;Avg7;BlockLeft8;BlockRight8;Avg8;BlockLeft9;BlockRight9;Avg9;BlockLeft10;BlockRight10;Avg10
1,165759;1,155555;1,160657;0,9946748;1,005346;1,00001;0,9734074;0,9623183;0,9678628;0,9731505;0,9675081;0,9703293;1,01324;0,999702;1,006471;0,9800286;0,9825194;0,981274;0,9492955;0,9254668;0,9373811;1,140121;1,129727;1,134924;1,047053;1,014856;1,030955;0,9608147;0,9363456;0,9485801
1,029761;1,00265;1,016206;0,9817064;1,042387;1,012047;1,203447;1,158183;1,180815;1,114735;1,154304;1,13452;1,025928;1,256178;1,141053;0,8426777;1,011152;0,9269146;0,8937131;0,9266489;0,9101809;1,316736;0,8592467;1,087991;1,275644;0,9047982;1,090221;0,9182863;1,105837;1,012062
1,188236;1,586439;1,387338;0,8766276;1,202629;1,039628;0,8170384;1,10499;0,9610143;0,7870193;1,056623;0,9218212;0,7812023;1,091874;0,9365381;0,7065476;0,9706643;0,8386059;0,6471986;0,9655253;0,8063619;0,8394552;1,21622;1,027838;0,8645338;1,240237;1,052385;0,7557982;1,000396;0,8780971
1,018017;1,177903;1,09796;0,9851643;1,110697;1,04793;1,00726;1,144236;1,075748;0,9830555;1,110194;1,046625;0,9515021;1,104038;1,02777;1,002328;1,250921;1,126625;0,9063404;1,106246;1,006293;1,221527;1,100226;1,160876;1,274977;1,073322;1,174149;1,019173;1,176901;1,098037
1,265836;1,328362;1,297099;1,235133;1,304114;1,269623;1,123021;1,223435;1,173228;1,070205;1,324423;1,197314;0,9926822;1,20613;1,099406;1,04909;1,245297;1,147193;0,9822042;1,22172;1,101962;1,288607;1,47645;1,382529;1,34479;1,03026;1,187525;0,9068239;1,071051;0,9889373
1,277727;1,675995;1,476861;1,155898;1,764433;1,460165;1,302755;1,726656;1,514706;1,173704;1,670474;1,422089;1,391607;1,733744;1,562675;1,190003;1,646999;1,418501;1,310952;1,772367;1,54166;1,409146;1,772413;1,59078;1,521497;1,719276;1,620386;1,235231;1,673898;1,454565
1,405649;1,664373;1,535011;1,209624;1,318527;1,264076;1,138351;1,186804;1,162578;1,113192;1,266826;1,190009;1,092819;1,127861;1,11034;1,004664;1,198858;1,101761;1,063779;1,239455;1,151617;1,151406;1,453959;1,302682;1,18971;1,238824;1,214267;1,113657;1,300994;1,207325
1,19071;1,178103;1,184407;1,071076;1,166626;1,118851;1,036581;1,216601;1,126591;1,163865;1,485258;1,324561;1,27812;1,620412;1,449265;1,295657;1,551592;1,423625;1,263016;1,435703;1,34936;1,297139;1,363445;1,330292;1,409786;1,320225;1,365005;0,9913954;1,260756;1,126076
1,399254;1,627281;1,513267;1,342589;1,570403;1,456496;1,159899;1,349245;1,254572;1,146192;1,297464;1,221828;1,009878;1,142521;1,076199;1,043344;1,173564;1,108454;0,9837698;1,146265;1,065017;1,21623;1,445858;1,331044;1,58172;1,325192;1,453456;0,993419;1,127031;1,060225
1,3119;1,592846;1,452373;0,9848306;1,273662;1,129246;1,037858;1,418963;1,22841;1,000113;1,477746;1,23893;0,949325;1,418985;1,184155;0,9089231;1,364767;1,136845;0,9446755;1,401583;1,173129;1,218447;1,313632;1,266039;1,401826;1,148178;1,275002;0,9197177;1,346825;1,133271
1,166336;1,307942;1,237139;1,062744;1,276764;1,169754;0,9866848;1,088634;1,037659;1,054534;1,087105;1,070819;1,03829;1,216735;1,127512;1,068251;1,259956;1,164103;1,07791;1,224199;1,151055;1,404575;1,198846;1,301711;1,491057;1,332294;1,411675;1,047503;1,392682;1,220093
1,127269;1,132978;1,130123;0,9570442;0,9772377;0,9671409;0,8811807;0,9076108;0,8943957;1,011966;1,036482;1,024224;0,940089;0,9781652;0,9591271;0,9790979;1,042932;1,011015;1,02971;1,060529;1,045119;1,300409;1,240374;1,270392;1,187346;1,195836;1,191591;0,9070513;0,9536922;0,9303718
1,146001;1,543883;1,344942;0,8234818;1,158172;0,9908268;0,9288113;1,124495;1,026653;0,8505071;1,060704;0,9556054;0,9117749;1,133575;1,022675;0,8586112;0,9852386;0,9219249;0,8803971;0,9807546;0,9305758;1,087118;1,122249;1,104684;0,9645925;1,00468;0,9846363;0,9055379;0,8909005;0,8982192
1,334625;1,295264;1,314944;1,246522;1,229258;1,23789;1,175324;1,164784;1,170054;1,171242;1,129556;1,150399;1,144904;1,138171;1,141537;1,058895;1,044221;1,051558;0,9661108;0,9874116;0,9767612;1,228253;1,132943;1,180598;1,225461;1,177651;1,201556;1,153492;1,141193;1,147342
1,004477;1,00553;1,005003;0,8712761;0,8541737;0,8627249;0,8059992;0,8205026;0,8132509;0,8375662;0,8060485;0,8218074;0,8113458;0,8147523;0,8130491;0,7327474;0,7299076;0,7313275;0,7639737;0,7401533;0,7520635;1,04072;1,020986;1,030853;0,9326169;0,9395227;0,9360698;0,8188465;0,808644;0,8137453
