Phi;Theta;Phi2;Theta2
40;90;-40;90
35;90;-35;90
30;90;-30;90
25;90;-25;90
20;90;-20;90
50;90;-50;90
60;90;-60;90
30;90;-30;90
20;90;-20;90
40;90;-40;90
40;100;-40;100
40;110;-40;110
40;120;-40;120
40;80;-40;80
40;70;-40;70
40;90;-40;90
40;100;-40;100
40;120;-40;120
40;130;-40;130
40;60;-40;60
30;70;-30;70
55;90;-55;90
20;110;-20;110
70;80;-70;80
60;120;-60;120
10;90;-10;90
25;70;-25;70
35;130;-35;130
80;80;-80;80
110;90;-110;90
10;80;-55;110
50;110;-20;95
70;70;-60;75
35;80;-110;60
45;90;-80;100
80;100;-45;90
110;60;-35;80
60;75;-70;70
20;95;-50;110
55;110;-10;80
10;90;-40;90
20;90;-30;90
40;90;-10;90
65;90;15;90
80;100;30;100
70;100;20;100
55;80;5;80
30;80;-20;80
25;90;-25;90
5;90;-45;90
