Phi;Theta;Radius;Phi2;Theta2;Radius2;PositionX;PositionY;PositionZ;PositionX2;PositionY2;PositionZ2;RotationX;RotationY;RotationZ;RotationX2;RotationY2;RotationZ2;ScaleX;ScaleY;ScaleZ;ScaleX2;ScaleY2;ScaleZ2
15,35277;84,52334;4,191095;36,04972;91,43565;3,991416;3,551672;2;0,9751441;2,990536;1,499999;2,176719;6,198251;254,6472;180;358,4513;233,9503;90;1;1;1;1;1;1
-18,72579;84,52286;4,19073;-9,008506;94,39881;3,911453;3,487752;2;-1,182289;3,643596;1,299998;-0,5776435;6,198949;288,7258;-3,757228E-05;355,3509;279,0085;0;1;1;1;1;1;1
-44,26784;91,43564;3,991416;-19,38979;91,43563;3,991416;2,648682;1,499999;-2,581839;3,489047;1,499999;-1,227989;358,4513;314,2679;270;358,4514;289,3898;90;1;1;1;1;1;1
-9,108493;102,483;3,701145;24,29995;102,4867;3,700048;3,568084;0,7999996;-0,5720569;3,292471;0,7999995;1,486604;347,517;279,1085;180;347,5133;245,7;270;1;1;1;1;1;1
-38,57547;84,52307;4,190897;-2,786183;90;4,031128;2,879231;2;-2,296443;3,695626;1,6;-0,179853;6,198629;308,5754;90;-1,845997E-06;272,7862;180;1;1;1;1;1;1
21,07013;97,50188;3,829705;42,996;85,85526;4,15072;3,423069;1,099999;1,318803;2,699106;1,899999;2,516605;352,2383;248,9299;180;4,647552;227,004;270;1;1;1;1;1;1
0;85,85508;4,150554;15,84858;94,39878;3,911453;3,690135;1,9;0;3,548866;1,3;1,007479;4,647801;270;0;355,3509;254,1514;-2,14148E-07;1;1;1;1;1;1
-42,46644;91,43563;3,991416;-18,72579;91,43563;3,991416;2,728533;1,499999;-2,497301;3,503044;1,499999;-1,187473;358,4514;312,4664;90;358,4514;288,7258;180;1;1;1;1;1;1
18,25515;95,16064;3,891124;43,09064;85,85526;4,150719;3,499424;1,25;1,154286;2,694946;1,899999;2,52106;354,5742;251,7448;270;4,647552;226,9093;270;1;1;1;1;1;1
